poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
52;Hudeček Jiří;52;ND;BEZPP;operátor výroby;Chomutov
53;Herink Tomáš;24;ND;BEZPP;operátor výroby;Chomutov
54;Sianská Jindřiška;64;ND;BEZPP;důchodkyně;Jirkov
55;Bartoš Adam Benjamin;40;ND;ND;předseda Národní demokracie;Kadaň
1;Karika Karel;59;Piráti;Piráti;Vedoucí domu svatého Materny, pracovník v charitě;Ústí nad Labem
2;Stojanová Kateřina;22;Piráti;Piráti;Studentka práv na Univerzitě Karlově;Litoměřice
3;Rous Vít Ing.;37;Piráti;Piráti;Projektant - vodní hospodářství;Dubí
4;Baudis Jiří Ing. Mgr.;38;Piráti;Piráti;Systémový specialista;Ústí nad Labem
5;Kranda Jan Mgr.;46;Piráti;Piráti;Učitel, hudebník;Žatec
6;Vlach Vladimír;44;Piráti;Piráti;IT technik, předseda spolku ŽOK;Žatec
7;Ryšavý Lukáš;23;Piráti;Piráti;Student územního plánování;Most
8;Vodrážková Hana Mgr.;48;Piráti;Piráti;Ředitelka neziskové organizace;Kadaň
9;Beutelová Ludmila;32;Piráti;Piráti;Operátorka technické podpory;Ústí nad Labem
10;Blažej Lukáš;24;Piráti;Piráti;Zastupitel města Ústí nad Labem, student práv;Ústí nad Labem
11;Rýsler Petr;57;Piráti;Piráti;OSVČ - restauratér;Terezín
12;Pelzmann Schwarzová Michaela;34;Piráti;Piráti;OSVČ;Místo
13;Konečný Vít;33;Piráti;BEZPP;Vedoucí skladu;Žatec
14;Strnad Martin;44;Piráti;Piráti;Expert na státní správu;Děčín
15;Navrkal František Bc.;28;Piráti;Piráti;Poslanec Parlamentu ČR, datový inženýr;Děčín
16;Přibyl Jakub Ing.;38;Piráti;Piráti;Hydroprognostik;Ústí nad Labem
17;Karfilátová Miloslava Ing.;54;Piráti;Piráti;Personalistka;Kadaň
18;Mareš Jan Bc.;29;Piráti;Piráti;Student;Ústí nad Labem
19;Fuxová Barbora Bc. DiS.;31;Piráti;Piráti;Pracovnice podpory vzdělávání;Dobroměřice
20;Bartoníček Jan Mgr.;40;Piráti;Piráti;Ředitel, sociální pracovník;Ústí nad Labem
21;Šmíd Jan Mgr.;42;Piráti;BEZPP;Zastupitel města Děčín;Děčín
22;Komenda Adam Mgr.;29;Piráti;Piráti;Zastupitel města Mostu;Most
23;Stibalová Kateřina Mgr.;43;Piráti;BEZPP;Sociální pracovnice, psychoterapeutka;Litoměřice
24;Štěpánek Zdeněk Bc.;37;Piráti;Piráti;IT expert, člen ekozemědělského kibucu;Varnsdorf
25;Kunc Jan;21;Piráti;Piráti;Inspektor kvality;Most
26;Hladová Jana Ing.;43;Piráti;Piráti;Ekoložka;Kadaň
27;Gazdová Jitka Ing.;38;Piráti;BEZPP;Stavební inženýrka;Ústí nad Labem
28;Robouský Michal;23;Piráti;Piráti;Student;Lovosice
29;Berchinová Linda;21;Piráti;Piráti;Studentka;Most
30;Nadolecki Pavel Ing.;38;Piráti;Piráti;Inženýr kvality;Louny
31;Kindl František;67;Piráti;Piráti;Důchodce;Chomutov
32;Vaňková Blanka;45;Piráti;Piráti;Pracovnice NZDM;Most
33;Miltner Pavel Ing.;39;Piráti;Piráti;Geodet;Kadaň
34;Kopač Petr;32;Piráti;Piráti;Softwarový inženýr;Benešov nad Ploučnicí
35;Najdenov Jiří;44;Piráti;Piráti;OSVČ;Most
36;Zdobinský Petr Bc.;67;Piráti;BEZPP;Podnikatel, zastupitel města Děčín;Děčín
37;Titl Vítězslav Ph.D. MSc.;30;Piráti;BEZPP;Ekonom;Chomutov
38;Šmíd Lukáš William;27;Piráti;BEZPP;Úředník a OSVČ;Lovosice
39;Pazderková Jana Mgr.;41;Piráti;BEZPP;Středoškolská učitelka;Litoměřice
40;Macas Albert Ing.;26;Piráti;BEZPP;Analytik, spolupracovník Google;Louny
41;Kolář Martin Mgr. Ph.D.;51;Piráti;BEZPP;Odborný asistent FUD UJEP;Ústí nad Labem
42;Jaroš Jakub Ing. arch.;29;Piráti;BEZPP;Architekt;Koštice
43;Hamáková Stanislava Bc. DiS.;37;Piráti;BEZPP;Koordinátorka dobrovolnického centra;Kadaň
44;Kopica Jiří Mgr.;41;Piráti;BEZPP;Muzejník;Kadaň
45;Marek Ondřej Mgr.;29;Piráti;Piráti;Sociální pracovník;Litoměřice
46;Maixner Jan;36;Piráti;Piráti;Výrobní chemik;Děčín
47;Brendl Stanislav;30;Piráti;BEZPP;Bankéř a zdravotník;Ústí nad Labem
48;Holodňák Radek Mgr.;27;Piráti;Piráti;Filosof a badatel na Univerzitě Karlově;Žatec
49;Pokorný Antonín;71;Piráti;BEZPP;Manažer projektu Handycars;Nová Ves v Horách
50;Nevím Jakub Ing.;29;Piráti;BEZPP;Stavbyvedoucí;Veltěže
51;Haidler Jaroslav;61;Piráti;BEZPP;Herec;Ústí nad Labem
52;Brož Miroslav;41;Piráti;Piráti;Sociální pracovník;Ústí nad Labem
53;Přibylová Kočková Barbora;38;Piráti;BEZPP;Pečovatelka v domě pro seniory;Ústí nad Labem
54;Blail Ota Mgr.;41;Piráti;BEZPP;Učitel, vedoucí komunitního klubu Budík;Žatec
55;Filípek Vratislav;29;Piráti;Piráti;Reklamní stratég, PR manažer, grafik;Louny
56;Weidisch Tomáš;27;Piráti;Piráti;Kyberbezpečnostní specialista;Žatec
57;Kulhánek Lukáš;37;Piráti;BEZPP;Manažer logistiky;Louny
58;Vorlíček Petr;23;Piráti;BEZPP;Student;Louny
59;Schönfeldová Simona;18;Piráti;BEZPP;Studentka;Litvínov
60;Miličevič Radek;26;Piráti;BEZPP;Student, tiskař;Louny
1;Vondrouš Jan Bc.;42;VIZENS;VIZENS;lektor, historik, politolog;Bohušovice nad Ohří
2;Holubová Šárka Bc.;24;VIZENS;BEZPP;učitelka, obchodní manažerka;Ústí nad Labem
3;Leník Petr Mgr.;24;VIZENS;BEZPP;politolog, finanční poradce;Litoměřice
4;Hrubý Marcel Mgr. et Mgr.;53;VIZENS;BEZPP;administrátor farnosti Srbská Kamenice;Rybniště
5;Šámalová Veronika Ing.;24;VIZENS;BEZPP;manažerka v IT společnosti;Štětí
6;Korčák Adam Bc.;25;VIZENS;VIZENS;manažer, osobnostní coach;Litoměřice
7;Matějka Jan nprap. Mgr. Bc.;42;VIZENS;BEZPP;vrchní inspektor, státní zaměstnanec;Šluknov
8;Šmíd Petr;23;VIZENS;BEZPP;elektroinstalatér a montér;Litoměřice
9;Dítě Vojtěch;24;VIZENS;BEZPP;ekonomický specialista, finanční poradce;Louny
10;Voříšková Anna Bc.;27;VIZENS;VIZENS;bankovní poradce;Ústí nad Labem
11;Pelc František Bc.;27;VIZENS;BEZPP;historik, student VŠ;Libochovice
12;Kubelka Jakub Bc.;26;VIZENS;BEZPP;manažer, podnikatel ve stavebnictví;Litoměřice
13;Sakulič Lukáš;33;VIZENS;BEZPP;pečovatel v sociálních službách pro seniory;Ústí nad Labem
14;Zdráhal Jan Mgr.;34;VIZENS;BEZPP;fyzioterapeut, zdravotník;Velký Šenov
15;Puhlíková Barbora Bc.;24;VIZENS;BEZPP;personální manažerka;Lovosice
16;Kaulerová Vlasta;22;VIZENS;BEZPP;zdravotník, hasič, administrativní pracovnice;Brozany nad Ohří
17;Hodys Vojtěch;25;VIZENS;BEZPP;podnikatel, živnostník;Litoměřice
18;Kuba Martin;23;VIZENS;BEZPP;zahraniční montér;Litoměřice
19;Sobotka Patrik;27;VIZENS;BEZPP;barman;Osek
20;Novotná Valérie;19;VIZENS;BEZPP;studentka;Lovosice
21;Fial Radek;23;VIZENS;BEZPP;montér výroby;Litoměřice
22;Rehuš Jaroslav;21;VIZENS;BEZPP;student;Litoměřice
23;Bese Lukáš;37;VIZENS;BEZPP;řidič trolejbusu MHD;Ústí nad Labem
24;Šalman Václav;22;VIZENS;BEZPP;truhlář;Litoměřice
25;Douda Ondřej;35;VIZENS;BEZPP;pracovník v lesnictví, Lesy ČR;Terezín
26;Železný Jan;25;VIZENS;BEZPP;podnikatel, OSVČ;Křešice
27;Košťál Štěpán;25;VIZENS;BEZPP;podnikatel v oboru obchodu;Úštěk
28;Cikner Vladimír;26;VIZENS;BEZPP;montér výroby;Litoměřice
29;Šebo Marián;24;VIZENS;BEZPP;pracovník ve stavebnictví;Hrobce
30;Kruncl Dominik;24;VIZENS;BEZPP;živnostník, OSVČ;Litoměřice
31;Bernklauová Nicola;21;VIZENS;BEZPP;učitelka v MŠ;Křešice
32;Ociepka Jaroslav;28;VIZENS;BEZPP;poštovní doručovatel;Lovečkovice
33;Pirunčík Adam;23;VIZENS;BEZPP;živnostník OSVČ;Litoměřice
34;Hrbáček Martin;23;VIZENS;BEZPP;student VŠ UHK, Hradec Králové;Děčín
35;Svoboda Eduard;24;VIZENS;BEZPP;automechanik;Litoměřice
36;Tippelt Hynek Mgr. Ph.D.;44;VIZENS;BEZPP;vysokoškolský pedagog UJEP;Ústí nad Labem
1;Staňo Ota MUDr.;63;VOK;VOK;Lékař, ortopéd;Chomutov
2;Navara Vladimír Mgr.;54;VOK;VOK;Podnikatel;Velké Březno
3;Houzák Ivan;54;VOK;VOK;Trenér, předseda Akademie motorsportu;Most
4;Hrebičková Olga Ing.;56;VOK;BEZPP;Radní města Jílové, ved.skupiny plánování;Jílové
5;Vodička Jaroslav Ing.;72;VOK;BEZPP;Krajský zastupitel;Krásný Dvůr
6;Kozlerová Vlasta;52;VOK;BEZPP;Zootechnička;Moldava
7;Oršuliak Jaroslav;74;VOK;BEZPP;Ředitel společnosti;Perštejn
8;Kučera Miroslav;64;VOK;BEZPP;Podnikatel;Litoměřice
9;Rotek Jaroslav MUDr.;68;VOK;BEZPP;Lékař;Žatec
10;Sykáčková Jiřina Mgr. Bc.;53;VOK;BEZPP;Vedoucí živnostenského úřadu Rumburk;Rumburk
11;Woznicová Veronika;26;VOK;BEZPP;Obchodní ředitelka;Most
12;Kroh Jiří MUDr.;68;VOK;BEZPP;Dětský lékař;Chomutov
13;Procházka David;28;VOK;BEZPP;OSVČ;Ústí nad Labem
14;Houda Miloň Ing.;52;VOK;VOK;IT specialista;Chomutov
15;Kupková Nikola;24;VOK;BEZPP;Sanitářka;Zabrušany
16;Böhm Libor;27;VOK;BEZPP;Zástupce technického ředitele;Most
17;Varga Josef Mgr.;40;VOK;BEZPP;Speciální pedagog, vychovatel v dětském domově;Lipová
18;Zimmermannová Petra;45;VOK;BEZPP;Zdravotní sestra;Ústí nad Labem
19;Umlauf Pavel Ing. MBA;50;VOK;VOK;Projektový manažer;Chomutov
20;Rusó Eva;57;VOK;BEZPP;Dispečerka;Teplice
21;Blažková Jana;51;VOK;BEZPP;Podnikatelka;Ústí nad Labem
22;Vrbská Alena;52;VOK;BEZPP;Administrativní pracovník - místní rozvoj Děčín;Děčín
23;Kovalík Zdeněk;61;VOK;BEZPP;Zastupitel;Perštejn
24;Kozler Oldřich;66;VOK;BEZPP;Jednatel společnosti;Moldava
25;Koželuh Marek;26;VOK;BEZPP;Šéfkuchař;Most
26;Herrman David;42;VOK;BEZPP;Státní zaměstnanec;Kryry
27;Mojžíšová Ivana;58;VOK;BEZPP;OSVČ - kosmetický salón Děčín;Děčín
28;Blažek Jan;26;VOK;BEZPP;Technik;Dolní Zálezly
29;Studená Jana;68;VOK;BEZPP;Zdravotní sestra;Chomutov
30;Prokšová Kateřina;23;VOK;BEZPP;Servírka;Most
31;Pohlreich Daniel Bc.;25;VOK;BEZPP;Finance a managment, student ekonomie;Jílové
32;Benešová Veronika DiS.;46;VOK;BEZPP;Zdravotní sestra;Chomutov
33;Tylman Slavomír Ing.;67;VOK;BEZPP;Elektrotechnik;Hrob
34;Nečasová Marie Bc.;47;VOK;BEZPP;Zdravotní sestra;Podbořany
35;Müllerová Marie;60;VOK;BEZPP;Manažerka;Kadaň
36;Doležalová Jana;52;VOK;BEZPP;Vedoucí centra dětí a mládeže;Teplice
37;Janda Günter;76;VOK;BEZPP;Důchodce;Chomutov
38;Visnyaiová Romana;47;VOK;BEZPP;Zástupce vedoucího provozu;Most
39;Volek Pavel;71;VOK;BEZPP;Školitel a poradce doručovací služby ČP;Děčín
40;Aubrechtová Havlová Martina;54;VOK;BEZPP;Referentka;Bílina
41;Barcová Verona;68;VOK;BEZPP;Důchodkyně;Chomutov
42;Ternavčuk Zdeněk;41;VOK;VOK;Podnikatel;Chomutov
43;Woznicová Tereza;22;VOK;BEZPP;Student VŠFS;Libčeves
44;Rubeš Zdeněk;71;VOK;BEZPP;Důchodce;Ústí nad Labem
45;Vorel František Ing.;73;VOK;BEZPP;Projektant;Jirkov
46;Moravec Jan;32;VOK;BEZPP;Výchovný pracovník v dětském domově;Dolní Poustevna
47;Kříž Petr;18;VOK;BEZPP;Student;Ústí nad Labem
48;Štayr Josef;37;VOK;BEZPP;Provozní ředitel;Otvice
49;Holeš Jiří;51;VOK;BEZPP;OSVČ;Děčín
