poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
3;Schwarz Bronislav Ing.;53;S.cz;S.cz;radní města;Lom
4;Doubrava Jaroslav;72;S.cz;S.cz;senátor za Ústí nad Labem;Telnice
5;Slavík Radek Ing. Bc.;48;S.cz;S.cz;zastupitel města;Rumburk
6;Kožnar Milan;46;S.cz;S.cz;ředitel společnosti;Most
7;Pastýřík Čestmír Ing.;61;S.cz;BEZPP;vysokoškolský a středoškolský pedagog;Litvínov
8;Bukva Jan Ing.;48;S.cz;S.cz;zastupitel města;Rumburk
9;Šimek Martin;45;S.cz;BEZPP;velitel jednotky SDH;Litoměřice
10;Rybárová Květa;68;S.cz;BEZPP;krajská předsedkyně Českého svazu žen;Ústí nad Labem
11;Moravec František;57;S.cz;BEZPP;starosta obce;Staré Křečany
12;Domorák Rostislav Ing.;59;S.cz;BEZPP;ředitel Oblastní charity Ústí nad Labem;Budyně nad Ohří
13;Kohout Josef Ing.;76;S.cz;BEZPP;zakladatel domu seniorů;Roudnice nad Labem
14;Štruplová Růžičková Šárka Mgr. MBA;44;S.cz;S.cz;ředitelka domu kultury;Rumburk
15;Janeček Jiří Ing.;54;S.cz;S.cz;bankovní manažer;Dubí
16;Rybár Tomáš;36;S.cz;BEZPP;automechanik;Ústí nad Labem
17;Petrovský Jiří MUDr.;33;S.cz;S.cz;lékař, chirurg;Rumburk
18;Domín Martin Ing.;25;S.cz;BEZPP;zastupitel města, pedagog;Most
19;Jirman Luděk Ing.;41;S.cz;BEZPP;ředitel Destinační agentury České středohoří;Roudnice nad Labem
20;Skřivánek Jiří;46;S.cz;BEZPP;podnikatel, řidič sanitky;Litoměřice
21;Bukvová Simona MUDr.;43;S.cz;S.cz;lékařka, gynekoložka;Rumburk
22;Turoň Milan Ing.;58;S.cz;BEZPP;zaměstnanec Ministerstva obrany;Louny
23;Jirka Luboš;49;S.cz;BEZPP;reprezentační trenér handicapovaných cyklistů;Vroutek
24;Hrdlička Václav;46;S.cz;BEZPP;jednatel společnosti;Most
25;Maskulanisová Miluše;68;S.cz;BEZPP;majitelka útulku Psí Domov Řepnice;Libochovany
26;Běhounek Daniel;43;S.cz;BEZPP;soukromý podnikatel v oboru elektro;Lom
27;Hervertová Marie;20;S.cz;BEZPP;členka akademického senátu PF UP Olomouc;Litoměřice
28;Geist Ivan;55;S.cz;S.cz;přednosta osobní stanice ČD a.s.;Česká Kamenice
29;Šípová Martina Mgr.;45;S.cz;S.cz;lektor pohybové výchovy dětí, jednatel;Lom
30;Kubelková Olga PhDr.;53;S.cz;BEZPP;kurátorka Oblastní muzeum a galerie v Mostě;Litoměřice
31;Matějka Svatopluk;65;S.cz;BEZPP;emeritní ředitel základní školy;Most
32;Ondrášek Tomáš Ing.;65;S.cz;BEZPP;ředitel Středočeské vědecké knihovny Kladno;Most
33;Šteflíková Zdeňka MUDr.;60;S.cz;BEZPP;praktický lékař pro dospělé;Lom
34;Sýkorová Jana;62;S.cz;BEZPP;pedagog, učitelka mateřské školy;Lom
35;Jankovská Jitka;45;S.cz;BEZPP;úřednice České pošty a.s.;Chlumec
36;Kotýnek Roman;48;S.cz;BEZPP;skladník, voják aktivních záloh;Jirkov
37;Rybák Milan Ing.;65;S.cz;BEZPP;zastupitel města;Most
38;Bechyně Aleš;38;S.cz;BEZPP;pracovník Vězeňské služby ČR;Podbořany
39;Kohlová Jana;35;S.cz;BEZPP;bankovní úřednice;Teplice
40;Valášek Ivo;57;S.cz;BEZPP;strojvedoucí SC Pendolino;Žatec
41;Jelínková Hana Bc.;35;S.cz;BEZPP;administrativní pracovnice;Teplice
42;Topš Martin;23;S.cz;BEZPP;designer komunálních elektrovozů TPCI;Roudnice nad Labem
43;Bartuška Lukáš;24;S.cz;BEZPP;řidič kamionu;Podbořany
44;Dvořáková Alena;66;S.cz;S.cz;majitelka obchodu s broušeným sklem;Dubí
45;Nachtmannová Dagmar;47;S.cz;BEZPP;administrativní pracovník;Ústí nad Labem
46;Bočkaj Tomáš;36;S.cz;BEZPP;provozovatel autoservisu;Podbořany
47;Hořeňovský Josef;58;S.cz;BEZPP;přepravní kontrolor;Ústí nad Labem
48;Klingr Petr DiS.;56;S.cz;BEZPP;spojumajitel rodinné optiky;Litoměřice
49;Velcová Marcela Ing.;53;S.cz;S.cz;administrativní pracovnice;Dubí
50;Vodák Zbyněk Ing.;54;S.cz;TOP 09;vedoucí údržby Orlen service;Lom
51;Vlček Jiří;47;S.cz;S.cz;soukromý podnikatel;Osek
52;Hajný Martin;19;S.cz;BEZPP;provozovatel občerstvení na Labské stezce;Litoměřice
53;Barták Luboš;54;S.cz;S.cz;geodet;Dubí
54;Liška Tomáš;52;S.cz;BEZPP;operátor výroby, voják aktivních záloh;Chomutov
55;Kalina Josef;42;S.cz;BEZPP;spolumajitel rodinné firmy JOTIS;Litoměřice
56;Dostal Jan;43;S.cz;S.cz;jednatel společnosti;Litoměřice
57;Klíma Jan;43;S.cz;S.cz;IT specialista Česká pošta a.s.;Litoměřice
1;Klika Martin PhDr. MBA, DBA;50;UFO;BEZPP;1. náměstek hejtmana ÚK, zastupitel města Litvínov;Litvínov
2;Nechybová Věra Ing.;48;UFO;UFO;1.náměstkyně primátora Statutárního města Ústí n.L;Ústí nad Labem
3;Paparega Jan Mgr.;39;ProMOST;ProMOST;primátor Statutárního města Most;Most
4;Andrt Miroslav Mgr. Ing.;42;UFO;BEZPP;radní Ústeckého kraje, místostarosta města Štětí;Štětí
5;Franta Jaromír;53;ProMOST;BEZPP;odborový předák, zastupitel obce Boleboř;Boleboř
6;Raška Vladislav Ing.;59;UFO;BEZPP;ekonom, radní Statutárního města Děčín;Děčín
7;Šimbera Zbyněk Mgr.;56;UFO;BEZPP;starosta města Duchcov;Duchcov
8;Džumanová Eva Mgr.;55;UFO;BEZPP;starostka města Šluknov;Šluknov
9;Eichler Jan PaedDr.;59;UFO;BEZPP;ředitel DDM Ústí n.L.,před. Klubu českých turistů;Ústí nad Labem
10;Hrvol Marek Ing.;32;ProMOST;ProMOST;náměstek Statutárního města Most;Most
11;Mareš Jan Mgr. MBA;61;UFO;BEZPP;ředitel střední školy, zastupitel;Chomutov
12;Matouš Zdeněk PhDr. Ing. Ph.D., MBA;56;UFO;BEZPP;náměstek hejtmana ÚK, starosta města Krupka;Krupka
13;Rybka František Ing.;27;UFO;BEZPP;velitel družstva profesionálních hasičů, manager;Cítoliby
14;Konečný Lukáš;42;UFO;BEZPP;radní Stat. města Ústí n.L.,mistr světa v boxu;Ústí nad Labem
15;Spousta Čestmír Ing.;38;UFO;BEZPP;OSVČ - lektor autoškoly, zastupitel obce Břvany;Břvany
16;Vozka Vlastimil Ing.;66;ProMOST;ProMOST;radní Statutárního města Most;Most
17;Krákora Martin MUDr.;37;UFO;BEZPP;všeobecný praktický lékař, zastupitel;Chomutov
18;Svoboda Zbyněk;54;UFO;BEZPP;zastupitel ÚK, člen Odborového svazu železnic;Ústí nad Labem
19;Csonka Pavel Bc.;55;UFO;BEZPP;zastupitel ÚK - předseda výboru, zastupitel města;Louny
20;Cmorej Patrik Christian PhDr. Mgr. et Mgr. Ph.D.;37;ProMOST;BEZPP;zdravotnický záchranář, učitel na vysoké škole;Litvínov
21;Mikl Vlastimil;48;UFO;BEZPP;zastupitel Ústeckého kraje, starosta obce Vrbice;Vrbice
22;Nedvěd Jiří Ing. Bc.;35;ProMOST;ProMOST;radní Statutárního města Most, dopravní inženýr;Most
23;Nekolová Gabriela DiS.;42;ProMOST;BEZPP;předsedkyně Hospodářské a sociální rady ÚK;Most
24;Martinková Hana;35;ProMOST;BEZPP;vrcholová sportovkyně-reprezentantka ČR v házené;Obrnice
25;Havlíček Jan;41;UFO;BEZPP;generální manažer hokeje;Ludvíkovice
26;Štembera Sáša MUDr.;70;ProMOST;ProMOST;lékař;Most
27;Veselý Jaroslav Ing.;64;UFO;BEZPP;starosta obce Raná, emeritní velvyslanec;Raná
28;Kozák Rudolf Ing.;56;ProMOST;BEZPP;řed. komunikace a vnějších vztahů Severoč. dolů;Březno
29;Kyjovská Eva Mgr. Bc. MBA;51;UFO;BEZPP;ředitelka mateřské školy;Krupka
30;Honzl Karel Ing.;64;UFO;BEZPP;zastupitel ÚK, místostarosta města Podpořany;Podbořany
31;Svoboda David;29;UFO;BEZPP;zdravotní bratr, nám. starosty Sboru dobr.hasičů;Štětí
32;Přikryl Miroslav Mgr.;62;UFO;BEZPP;OSVČ, manažer a trenér volejbalu mládeže;Ústí nad Labem
33;Rouček Karel Bc.;56;UFO;BEZPP;místostarosta města Krupka;Krupka
34;Hosman Zdeněk Mgr.;54;UFO;BEZPP;ředitel základní školy, radní města Kadaň;Kadaň
35;Kubíček Miloslav JUDr.;70;UFO;BEZPP;ředitel sdružení Terezín - město změny;Travčice
36;Schoř Ondřej Ing.;45;UFO;BEZPP;starosta obce Mlékojedy, podnikatel;Mlékojedy
37;Prachař Martin Bc.;45;UFO;UFO;před. představenstva DP města UL,majitel pivovaru;Ústí nad Labem
38;Štejnar Radek Ing.;53;UFO;BEZPP;radní Ústeckého kraje, zastupitel města Jirkov;Jirkov
39;Scherfer Radek Mgr.;45;UFO;BEZPP;místopředseda představenstva Krajská zdravotní a.s;Kadaň
40;Hrvol Jaroslav Ing.;35;ProMOST;ProMOST;ředitel městské policie Most;Most
41;Pasečiaková Lenka Ing.;52;UFO;BEZPP;ekonomka a metodička účetnictví;Roudnice nad Labem
42;Emingr Vladimír MUDr.;64;UFO;BEZPP;člen zast.města Louny, člen předs. KZ a.s.;Louny
43;Drtil Marek Mgr.;28;ProMOST;BEZPP;středoškolský učitel, zast. města Horní Jiřetín;Horní Jiřetín
44;Šrůtová Olga Bc.;42;ProMOST;ProMOST;podnikatelka, zastupitelka Statutárního města Most;Most
45;Homola Svatopluk MVDr.;77;UFO;BEZPP;veterinární lékař;Kadaň
46;Hudský Marek Ing.;45;ProMOST;BEZPP;místopředseda odborové organizace;Most
47;Pézrová Jana Bc.;49;UFO;BEZPP;zástupkyně ředitele mateřské školy;Chomutov
48;Hrdina Zdeněk PaedDr.;61;UFO;BEZPP;ředitel střední školy;Kadaň
49;Horčička Jiří Mgr.;58;UFO;BEZPP;ministerský rada;Ústí nad Labem
50;Fišer Petr Bc.;29;UFO;BEZPP;strážník městské policie;Krupka
51;Turko Julius;39;ProMOST;BEZPP;OSVČ;Litvínov
52;Bytyqi Fabiána;24;UFO;BEZPP;vrcholová sportovkyně - mistryně světa v boxu;Ústí nad Labem
53;Lukešová Jana Mgr.;55;UFO;BEZPP;zástupkyně ředitele základní školy;Kadaň
54;Madar Jiří MUDr.;61;UFO;UFO;lékař - ortoped, zast. Statutárního města Ústí n.L;Ústí nad Labem
55;Štěrba Jan MUDr.;78;UFO;BEZPP;rehabilitační lékař;Teplice
56;Formánek Petr;40;ProMOST;ProMOST;ředitel sportovní haly;Most
57;Zahradníček Václav Ing.;53;ProMOST;ProMOST;ředitel a před. představenstva Technických služeb;Most
58;Penc Jiří;58;UFO;BEZPP;živnostník, zastupitel města Krupka;Krupka
59;Miková Jiřina;47;UFO;BEZPP;učitelka, metodička prevence;Horní Jiřetín
60;Csonková Dagmar JUDr.;54;UFO;BEZPP;advokátka;Louny
1;Krákora Jaroslav MUDr.;64;ČSSD;ČSSD;dětský lékař, emeritní poslanec PČR;Chomutov
2;Jiránek Miroslav MUDr.;63;ČSSD;PRO Zdraví;lékař, dětský kardiolog,emeritní ředitel nemocnice;Litoměřice
3;Jakubec Petr Ing. Bc. MBA;63;ČSSD;ČSSD;výzkumný prac., emeritní radní ÚK, místostarosta;Varnsdorf
4;Benda Petr Ing.;49;ČSSD;BEZPP;podnikatel, emeritní předseda představenstva;Teplice
5;Holly Marek Mgr.;32;ČSSD;ČSSD;středoškolský učitel;Velké Březno
6;Szántó Jan;56;ČSSD;ČSSD;ředitel obchodní společnosti, emeritní radní ÚK;Litoměřice
7;Lafek Roman Ing.;55;ČSSD;ČSSD;místostarosta města Lom, úředník;Lom
8;Hybner Petr Ing.;48;ČSSD;ČSSD;místostarosta města Klášterec nad Ohří, ředitel;Klášterec nad Ohří
9;Pohanková Klára MUDr.;33;ČSSD;PRO Zdraví;lékařka, Masarykova nemocnice Ústí nad Labem;Ústí nad Labem
10;Špaček Arnošt Mgr.;50;ČSSD;ČSSD;advokát;Děčín
11;Ševcovic Michal Mgr.;55;ČSSD;PRO Zdraví;náměstek primátora Statutárního města Ústí n.L.;Ústí nad Labem
12;Vinický Ivan;65;ČSSD;ČSSD;starosta obce Bystřany;Bystřany
13;Tran Van Sang Ing.;35;ČSSD;PRO Zdraví;ekonom, koordinátor integračních projektů EU;Most
14;Mezian Hassan MUDr.;73;ČSSD;ČSSD;lékař, emeritní senátor PČR;Litoměřice
15;Cihlář David Mgr. Ph.D.;43;ČSSD;PRO Zdraví;vysokoškolský pedagog, fyzioterapeut;Ústí nad Labem
16;Fišerová Ivana;49;ČSSD;ČSSD;úřednice, emeritní místostarostka městkého obvodu;Ústí nad Labem
17;Sykáček Jaroslav Ing.;61;ČSSD;ČSSD;ředitel Městské knihovny, emeritní senátor PČR;Rumburk
18;Holata Radek;53;ČSSD;ČSSD;strojvedoucí;Most
19;Štíbr Jan PhDr.;70;ČSSD;ČSSD;historik umění, emeritní ředitel krajské galerie;Litoměřice
20;Skřivanová Michelle Bc.;52;ČSSD;ČSSD;učitelka;Ústí nad Labem
21;Ekrt Tomáš;51;ČSSD;PRO Zdraví;starosta obce Libčeves, dobrovolný hasič;Libčeves
22;Kasal Michal Ing.;49;ČSSD;BEZPP;předseda Finančního výboru Zastupitelstva;Teplice
23;Šanda Martin;45;ČSSD;ČSSD;zastupitel města České Kamenice, vedoucí dopravy;Česká Kamenice
24;Mareš Otakar Ing.;66;ČSSD;BEZPP;středoškolský učitel;Česká Kamenice
25;Sýkorová Kateřina Ing.;36;ČSSD;PRO Zdraví;místostarostka města Jílové;Jílové
26;Houška Tomáš;34;ČSSD;ČSSD;technik chemické výroby;Most
27;Bečvář Jiří;44;ČSSD;PRO Zdraví;zastupitel obce Libčeves, živnostník;Libčeves
28;Udatný Miroslav Mgr.;28;ČSSD;ČSSD;sociální pracovník;Litoměřice
29;Fiksl Lukáš;40;ČSSD;ČSSD;strojník;Křešice
30;Potomský Zdeněk Mgr.;43;ČSSD;BEZPP;manažer enviromentální společnosti;Teplice
31;Mašková Jana;37;ČSSD;ČSSD;živnostník;Žitenice
33;Zemanová Galina;67;ČSSD;ČSSD;důchodce;Bohušovice nad Ohří
34;Dunaj Stanislav Mgr.;47;ČSSD;PRO Zdraví;radní městské části Ústí nad Labem-Střekov,právník;Ústí nad Labem
35;Vrbová Eva;80;ČSSD;ČSSD;důchodce;Most
36;Fikslová Eva;31;ČSSD;ČSSD;zastupitel obce Křešice;Křešice
37;Pražanová Ludmila Ing.;59;ČSSD;ČSSD;učitelka;Varnsdorf
38;Postránský Jan Ing.;43;ČSSD;PRO Zdraví;ředitel hotelu;Ústí nad Labem
39;Mezianová Helena;72;ČSSD;ČSSD;manažer zdravotnického zařízení;Litoměřice
40;Kořínek Milan Ing.;74;ČSSD;ČSSD;důchodce, emeritní starosta města Šluknov;Šluknov
41;Vágner Jaroslav;66;ČSSD;ČSSD;důchodce;Most
42;Neudert Josef;55;ČSSD;PRO Zdraví;živnostník;Cítoliby
43;Haragal Petr;65;ČSSD;ČSSD;středoškolský pedagog;Děčín
44;Bezděk Jiří;36;ČSSD;ČSSD;člen kontrolního výboru a jednatel společnosti;Klášterec nad Ohří
45;Jakubcová Ludmila MUDr.;67;ČSSD;ČSSD;lékařka;Varnsdorf
46;Pohanka Jiří MUDr.;33;ČSSD;PRO Zdraví;lékař;Most
47;Bernášek Jakub;23;ČSSD;ČSSD;živnostník;Ústí nad Labem
48;Holub Hynek;26;ČSSD;ČSSD;pojišťovací poradce;Ústí nad Labem
49;Mašek Pavel;41;ČSSD;ČSSD;živnostník;Žitenice
50;Schmied Rudolf;24;ČSSD;ČSSD;student;Ústí nad Labem
51;Bejbl Milan;68;ČSSD;ČSSD;důchodce;Lovečkovice
52;Seidl Jiří;43;ČSSD;ČSSD;ředitel výroby;Klášterec nad Ohří
53;Bezděková Hana;41;ČSSD;ČSSD;vedoucí maloobchodní prodejny;Ústí nad Labem
54;Linda Josef;65;ČSSD;ČSSD;důchodce;Lom
55;Doležalová Romana Mgr. Bc.;49;ČSSD;ČSSD;učitelka;Varnsdorf
56;Roštejnský Miroslav;65;ČSSD;ČSSD;důchodce;Lom
57;Szántó Jiří;48;ČSSD;ČSSD;údržbář;Litoměřice
58;Vít Pavel Bc. DiS.;57;ČSSD;ČSSD;úředník ve státní správě;Rumburk
59;Ferenc David;20;ČSSD;PRO Zdraví;strojník;Libčeves
60;Hanejko Ondřej;25;ČSSD;ČSSD;operátor skladu;Most
1;Schiller Jan Ing.;48;ANO;ANO;Poslanec;Most
2;Hrabáč Marek JUDr.;47;ANO;ANO;Primátor města Chomutov;Chomutov
3;Kocánek Marek Ing.;36;ANO;ANO;Produktový manažer;Litoměřice
4;Laibl Radim Ing.;39;ANO;ANO;Místostarosta města Žatec;Žatec
5;Kirbs Tomáš Ing.;35;ANO;BEZPP;Poradce v oblasti životního prostředí;Ústí nad Labem
6;Čapek Marian;44;ANO;ANO;Soukromý podnikatel;Varnsdorf
7;Skála Vlastimil Ing.;49;ANO;ANO;Bezpečnostní poradce;Teplice
8;Zalabáková Jindra Ing.;50;ANO;ANO;Středoškolský pedagog;Kadaň
9;Tomášová Pavla Mgr.;51;ANO;ANO;Ředitelka školy;Litvínov
10;Plecitý Zdeněk;57;ANO;ANO;Vedoucí závodu;Sulejovice
11;Rychtařík Milan Mgr.;48;ANO;ANO;Místostarosta města Louny;Louny
12;Valenta Jiří Ing.;47;ANO;BEZPP;Pracovník v chemickém průmyslu;Ústí nad Labem
13;Novotný Miroslav;50;ANO;ANO;Technik;Kadaň
14;Kus Lumír Ing.;52;ANO;ANO;Starosta města Rumburk;Rumburk
15;Štábl Jiří Bc.;35;ANO;ANO;Náměstek primátora města Teplice;Teplice
16;Mejstříková Lubomíra Ing. CSc., MBA;63;ANO;ANO;Zastupitelka Ústeckého kraje;Most
17;Řezníček Jiří Mgr.;56;ANO;ANO;Místostarosta města Roudnice nad Labem;Roudnice nad Labem
18;Nedvědický Petr Mgr. Ing.;65;ANO;ANO;Primátor města Ústí nad Labem;Ústí nad Labem
19;Matějka Miroslav;44;ANO;ANO;Security Team leader;Louny
20;Anděl Jiří Ing. CSc.;62;ANO;BEZPP;Náměstek primátora města Děčín;Děčín
21;Mazánková Kateřina Ing. MPA;50;ANO;ANO;Vedoucí odboru;Klášterec nad Ohří
22;Schwarz Bařtipánová Zuzana Mgr.;42;ANO;ANO;Starostka Bíliny;Bílina
23;Škudrnová Jana;44;ANO;ANO;Soukromá podnikatelka;Most
24;Pala Martin;38;ANO;ANO;Místostarosta města Terezín;Terezín
25;Kubelka Jaromír;49;ANO;ANO;Starosta města Vroutek;Vroutek
26;Srba Patrik Bc.;24;ANO;ANO;Student;Libochovice
27;Vaněčková Alena Mgr. Bc.;57;ANO;ANO;Ředitelka školy;Chabařovice
28;Tůma Pavel Ing.;35;ANO;ANO;Soukromý podnikatel;Chomutov
29;Kuzma Jan;54;ANO;ANO;Strážník městské policie;Krupka
30;Vlach Tomáš Mgr. et Mgr.;31;ANO;ANO;Náměstek primátora města Ústí nad Labem;Ústí nad Labem
31;Prokešová Patricie Mgr. Bc. DiS.;27;ANO;ANO;Pedagog;Most
32;Veselka Lubomír Ing.;42;ANO;ANO;Jednatel společnosti;Rumburk
33;Elias Pavel Ing.;67;ANO;ANO;Soukromý podnikatel;Roudnice nad Labem
34;Hořínková Kawanová Zuzana Ing.;38;ANO;ANO;Středoškolský pedagog;Žatec
35;Vítová Renata;45;ANO;ANO;Volnočasový pedagog;Bílina
36;Zemanová Monika Mgr.;53;ANO;BEZPP;Ředitelka školy;Lovosice
37;Růžička Ladislav Ing.;50;ANO;ANO;Místostarosta města Rumburk;Rumburk
38;Štěrba Ondřej MUDr.;49;ANO;ANO;Lékař;Litoměřice
39;Šrámek Petr;21;ANO;ANO;Student;Most
40;Petrilák Milan Mgr.;60;ANO;ANO;Vedoucí právního odboru;Chomutov
41;Neumann František;48;ANO;ANO;Soukromý podnikatel;Louny
42;Urbánek Jiří;41;ANO;ANO;Volnočasový pedagog;Bílina
43;Douša Josef Ing.;43;ANO;ANO;Projektový manažer;Litoměřice
44;Andrš Radek Ing.;51;ANO;ANO;Manažer v IT;Rumburk
45;Sinu Lukáš;21;ANO;ANO;Student vysoké školy;Ústí nad Labem
46;Vycpálek Jan;38;ANO;ANO;Zubní technik;Litvínov
47;Nádvorník Jindřich;55;ANO;ANO;Operátor výroby;Jirkov
48;Pintr Pavel RNDr. Ph.D.;40;ANO;ANO;Vědecký pracovník;Žatec
49;Hruška Martin Bc. MBA;50;ANO;ANO;Soukromý podnikatel;Česká Kamenice
50;Kossakowski Vladimír;40;ANO;ANO;Manažer;Bystřany
51;Veselá Jaroslava Ing.;62;ANO;ANO;Referent;Žatec
52;Klaška Rudolf;41;ANO;ANO;Asistent kanceláře;Krupka
53;Šimanovský Jaroslav;51;ANO;ANO;Starosta Severní Terasy;Ústí nad Labem
54;Jugl Václav Ing.;38;ANO;ANO;Vedoucí divize;Smolnice
55;Šrámková Romana Ing.;52;ANO;ANO;Pedagog;Most
56;Vávra Tomáš Ing.;55;ANO;ANO;Manažer;Roudnice nad Labem
57;Říha Věra;58;ANO;ANO;Radní města Teplice;Teplice
58;Nováková Eva;61;ANO;ANO;Finanční manažer projektů EU;Ústí nad Labem
59;Rumlena Stanislav Ing.;65;ANO;ANO;Soukromý podnikatel;Postoloprty
60;Troníčková Petra Mgr.;44;ANO;ANO;Pedagog;Litvínov
1;Černý Radek;48;KSČM;KSČM;mistr stavební výroby,do června 2020 starosta obce;Lovečkovice
2;Kubeš Petr Ing. Bc.;31;KSČM;KSČM;vedoucí logistik;Žatec
3;Komínek Jaroslav;45;KSČM;KSČM;náměstek hejtmana Ústeckého kraje;Chomutov
4;Horák Jaroslav RSDr.;70;KSČM;KSČM;zastupitel Ústeckého kraje;Děčín
5;Zíka Tomáš;47;KSČM;KSČM;živnostník;Dubí
6;Belej Radek;45;KSČM;KSČM;předseda okresního výboru KSČM;Most
7;Vodseďálek Pavel;65;KSČM;KSČM;předseda OV KSČM,předseda výboru Zastupitelstva ÚK;Ústí nad Labem
8;Kohlíček Jaromír Ing. CSc.;67;KSČM;KSČM;osoba samostatně výdělečně činná;Teplice
9;Janeček Jan;37;KSČM;KSČM;projektový manažer;Ústí nad Labem
10;Rybák Stanislav RSDr.;72;KSČM;KSČM;náměstek hejtmana Ústeckého kraje,předseda OV KSČM;Louny
11;Hodboď Jiří;56;KSČM;KSČM;státní zaměstnanec;Malá Veleň
12;Matlachová Koníčková Petra Ing.;44;KSČM;KSČM;učitelka základní školy;Chomutov
13;Šenfeld Josef Ing.;58;KSČM;KSČM;zemědělský mechanizátor;Hoštka
14;Novák Jiří Ing.;74;KSČM;KSČM;předseda představenstva Krajské zdravotní a. s.;Most
15;Hubáčková Gabriela;45;KSČM;KSČM;asistentka náměstka primátora;Ústí nad Labem
16;Beneš Václav;67;KSČM;KSČM;starosta obce Blatno;Blatno
17;Bureš Petr;43;KSČM;KSČM;pracovník zákaznického servisu;Štětí
18;Hanousková Jitka;68;KSČM;KSČM;tajemnice okresního výboru KSČM;Újezdeček
19;Pilařová Honsová Jana;54;KSČM;KSČM;aranžérka;Málkov
20;Krastenicsová Radmila Ing.;53;KSČM;KSČM;učitelka;Most
21;Váňo Pavel;35;KSČM;KSČM;recepční;Jílové
22;Pulerová Soňa;59;KSČM;KSČM;tajemnice okresního výboru KSČM;Čížkovice
23;Krčmárik Karel JUDr.;72;KSČM;KSČM;právník v důchodu;Žatec
24;Homolka Václav PaedDr.;65;KSČM;KSČM;učitel;Klášterec nad Ohří
25;Kamarytová Vršitá Jaroslava Bc.;32;KSČM;KSČM;finanční účetní na mateřské dovolené;Děčín
26;Brázda Lukáš Bc.;30;KSČM;KSČM;zástupce vedoucího STYLE CZ;Bílina
27;Jung Zdeněk;38;KSČM;KSČM;asistent prodeje - pokladní dozor;Most
28;Chudobová Jana;65;KSČM;KSČM;sociální pracovnice;Trmice
29;Přikryl Lukáš;35;KSČM;KSČM;strážník městské policie;Teplice
30;Louda Milan;70;KSČM;KSČM;státní zaměstnanec Ministerstva vnitra ČR;Chlumec
31;Mazánková Iva;68;KSČM;KSČM;bývalá starostka obce;Dobroměřice
32;Hodboďová Ľudmila Mgr.;56;KSČM;KSČM;pracovnice v sociálních službách;Malá Veleň
33;Cingel Jaroslav;68;KSČM;KSČM;správce budov;Jirkov
34;Strnad Ondřej;21;KSČM;KSČM;student vysoké školy ekonomické;Trnovany
35;Hošek Martin;50;KSČM;KSČM;elektromechanik;Most
36;Minárik František;54;KSČM;KSČM;samostatný referent;Ústí nad Labem
37;Mádlová Alena;62;KSČM;KSČM;tajemnice okresního výboru KSČM;Lenešice
38;Dušek Zdeněk PaedDr.;67;KSČM;KSČM;učitel, nyní dozorce v muzeu;Litoměřice
39;Kořanová Irena;70;KSČM;KSČM;veterinární technička v důchodu;Krupka
40;Švestka Jan;46;KSČM;KSČM;pracovník oddělení chemie;Chomutov
41;Jelínková Iveta;51;KSČM;KSČM;učitelka základní školy;Most
42;Stojan Martin Bc. DiS.;47;KSČM;KSČM;nástrojař;Rumburk
43;Schleier Vratislav;67;KSČM;KSČM;strojník;Lovosice
44;Faix Drahomír;60;KSČM;KSČM;technik;Louny
45;Fricová Andrea Mgr.;46;KSČM;KSČM;učitelka;Chomutov
46;Šír Jiří Bc.;47;KSČM;KSČM;samostatný referent;Malšovice
47;Dbalý Jiří;70;KSČM;KSČM;státní zaměstnanec Policie ČR v důchodu;Krupka
48;Hanischová Marie;66;KSČM;KSČM;pěstounka v důchodu;Obrnice
49;Buldra Miloslav;62;KSČM;KSČM;provozní zámečník;Ústí nad Labem
50;Zigmundová Martina;49;KSČM;KSČM;pokojská;Duchcov
51;Kosař Vojtěch Bc.;23;KSČM;KSČM;referent;Ústí nad Labem
52;Malířová Ivana Ing. Bc.;55;KSČM;KSČM;technik;Žatec
53;Mihalíková Květoslava;55;KSČM;BEZPP;vedoucí úklidu;Malá Veleň
54;Fukárek Karel;48;KSČM;KSČM;vychovatel;Most
55;Hladík Oldřich;65;KSČM;KSČM;elektromontér;Velemín
56;Šíma Rostislav;56;KSČM;KSČM;vedoucí obchodního oddělení;Litvínov
57;Ploc Tomáš;38;KSČM;KSČM;technik;Louny
58;Pásztor Jozef;57;KSČM;KSČM;technik Severočeských vodovodů a kanalizací;Litoměřice
59;Havel Jiří;44;KSČM;BEZPP;zámečník;Želenice
60;Koluchová Libuše;72;KSČM;BEZPP;učitelka v důchodu;Děčín
1;Hoffmann Radek;52;Trikolóra;Trikolóra;podnikatel v oboru dopravy, pilot;Lipno
2;Kočiš David Ing.;33;Trikolóra;Trikolóra;logistik ve vazební věznici v Teplicích,;Teplice
3;Becková Martina Ing.;45;Trikolóra;Trikolóra;učitelka na ZŠ, kartograf;Jirkov
4;Pištora Zdeněk Mgr.;56;Trikolóra;Trikolóra;starosta města Postoloprty;Postoloprty
5;Šmíd Petr Mgr.;56;Trikolóra;Trikolóra;náměstek hejtmana Ústeckého kraje pro oblast;Varnsdorf
6;Novotný Jan Ing. Bc.;45;Trikolóra;Trikolóra;vychovatel v dětském domově, zastupitel města;Chomutov
7;Řepka Rudolf Mgr. LL.M.;45;Trikolóra;BEZPP;výkonný ředitel sportovní agentury TOP SPORT;Teplice
